Row ID;Row Name;baseWepId;gemId;reinforceLv
10;Longsword +6 - test gem 1;2000000;10;6;
20;Blank +6 - Lion's Claw;100000;80;6;
21;Blank +6 - Lion's Claw;100000;80;6;
22;Blank +6 - Lion's Claw;100500;85;6;
23;Blank +6 - Lion's Claw;100500;85;6;
80;Longsword +0 - Lion's Claw;2000000;80;0;
81;Heavy Longsword +0 - Lion's Claw;2000100;81;0;
82;Keen Longsword +0 - Lion's Claw;2000200;82;0;
83;Quality Longsword +0 - Lion's Claw;2000300;83;0;
84;Fire Longsword +0 - Lion's Claw;2000400;84;0;
85;Flame Art Longsword +0 - Lion's Claw;2000500;85;0;
86;Lightning Longsword +0 - Lion's Claw;2000600;86;0;
87;Sacred Longsword +0 - Lion's Claw;2000700;87;0;
88;Magic Longsword +0 - Lion's Claw;2000800;88;0;
89;Cold Longsword +0 - Lion's Claw;2000900;89;0;
90;Poison Longsword +0 - Lion's Claw;2001000;90;0;
100;Bastard Sword +0 - Lion's Claw;3000000;100;0;
101;Longsword +0 - Impaling Thrust;2000000;101;0;
102;Uchigatana +0 - Piercing Fang;9000000;102;0;
103;Longsword +0 - Spinning Slash;2000000;103;0;
104;Bastard Sword +0 - Spinning Slash;3000000;103;0;
105;Lance +0 - Charge Forth;17060000;105;0;
106;Bastard Sword +0 - Stamp (Upward Cut);3000000;106;0;
107;Greatsword +0 - Stamp (Sweep);4000000;107;0;
108;Longsword +0 - Blood Tax;2000000;108;0;
109;Longsword +0 - Repeating Thrust;2000000;109;0;
110;Battle Axe +0 - Wild Strikes;14000000;110;0;
111;Halberd +0 - Spinning Strikes;18000000;111;0;
112;Uchigatana +0 - Double Slash;9000000;112;0;
113;Prelate's Inferno Crozier +0 - Prelate's Charge;23000000;113;0;
114;Uchigatana +0 - Unsheathe;9000000;114;0;
115;Longsword +0 - Square Off;2000000;115;0;
116;Lance +0 - Giant Hunt;17060000;116;0;
117;Torch +0 - Torch Attack;24000000;117;0;
118;Twinblade +0 - Loretta's Slash;10000000;118;0;
119;Longsword +0 - Poison Moth Flight;2000000;119;0;
120;Longsword +0 - Spinning Weapon;2000000;120;0;
121;Longsword +0 -;2000000;121;0;
122;Banished Knight's Halberd +0 - Storm Assault;18030000;122;0;
123;Banished Knight's Halberd +0 - Stormcaller;18030000;123;0;
124;Longsword +0 - Glintblade Phalanx;2000000;20000;0;
125;Longsword +0 - Sacred Blade;2000000;20100;0;
126;Short Spear +0 - Ice Spear;16000000;20200;0;
127;Longsword +0 - Glintstone Pebble;2000000;20300;0;
128;Longsword +0 - Bloody Slash;2000000;128;0;
