Row ID;Row Name;physicsAtkRate;magicAtkRate;fireAtkRate;thunderAtkRate;staminaAtkRate;saWeaponAtkRate;saDurabilityRate;correctStrengthRate;correctAgilityRate;correctMagicRate;correctFaithRate;physicsGuardCutRate;magicGuardCutRate;fireGuardCutRate;thunderGuardCutRate;poisonGuardResistRate;diseaseGuardResistRate;bloodGuardResistRate;curseGuardResistRate;staminaGuardDefRate;spEffectId1;spEffectId2;spEffectId3;residentSpEffectId1;residentSpEffectId2;residentSpEffectId3;materialSetId;maxReinforceLevel;darkAtkRate;darkGuardCutRate;correctLuckRate;freezeGuardDefRate;reinforcePriceRate;baseChangePriceRate;enableGemRank;sleepGuardDefRate;madnessGuardDefRate;baseAtkRate
0;Standard +0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;
1;Standard +1;1.058;1.058;1.058;1.058;1.04;1;1;1.02;1.02;1.04;1.04;1;1;1;1;1;1;1;1;1.01;1;1;0;0;0;0;1;1;1.058;1;1.04;1;1.2;1;0;1;1;1.12;
2;Standard +2;1.116;1.116;1.116;1.116;1.08;1;1;1.04;1.04;1.08;1.08;1;1;1;1;1;1;1;1;1.01;2;2;0;0;0;0;2;2;1.116;1;1.08;1;1.4;1;0;1;1;1.24;
3;Standard +3;1.174;1.174;1.174;1.174;1.12;1;1;1.06;1.06;1.12;1.12;1;1;1;1;1;1;1;1;1.02;3;3;0;0;0;0;3;3;1.174;1;1.12;1;1.6;1;0;1;1;1.36;
4;Standard +4;1.232;1.232;1.232;1.232;1.16;1;1;1.08;1.08;1.16;1.16;1;1;1;1;1;1;1;1;1.02;4;4;0;0;0;0;4;4;1.232;1;1.16;1;1.8;1;0;1;1;1.48;
5;Standard +5;1.29;1.29;1.29;1.29;1.2;1;1;1.1;1.1;1.2;1.2;1;1;1;1;1;1;1;1;1.03;5;5;0;0;0;0;5;5;1.29;1;1.2;1;2;1;0;1;1;1.6;
6;Standard +6;1.348;1.348;1.348;1.348;1.24;1;1;1.12;1.12;1.24;1.24;1;1;1;1;1;1;1;1;1.03;6;6;0;0;0;0;6;6;1.348;1;1.24;1;2.2;1;0;1;1;1.72;
7;Standard +7;1.406;1.406;1.406;1.406;1.28;1;1;1.14;1.14;1.28;1.28;1;1;1;1;1;1;1;1;1.04;7;7;0;0;0;0;7;7;1.406;1;1.28;1;2.4;1;0;1;1;1.84;
8;Standard +8;1.464;1.464;1.464;1.464;1.32;1;1;1.16;1.16;1.32;1.32;1;1;1;1;1;1;1;1;1.04;8;8;0;0;0;0;8;8;1.464;1;1.32;1;2.6;1;0;1;1;1.96;
9;Standard +9;1.522;1.522;1.522;1.522;1.36;1;1;1.18;1.18;1.36;1.36;1;1;1;1;1;1;1;1;1.04;9;9;0;0;0;0;9;9;1.522;1;1.36;1;2.8;1;0;1;1;2.08;
