Row ID;Row Name;teamType;phantomParamId;spEffectID0;spEffectID1;spEffectID2;spEffectID3;spEffectID4;spEffectID5;spEffectID6;spEffectID7;spEffectID8;spEffectID9;sosSignSfxId;mySosSignSfxId;summonStartAnimId;itemlotParamId;voiceChatGroup;roleNameColor;roleNameId;threatLv;phantomParamId_vowRank1;phantomParamId_vowRank2;phantomParamId_vowRank3;spEffectID_vowRank0;spEffectID_vowRank1;spEffectID_vowRank2;spEffectID_vowRank3;signPhantomId;nonPlayerSummonStartAnimId
0;Host of Fingers;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;1;1;331100;0;-1;-1;-1;-1;-1;-1;-1;-1;0;
1;Furled Finger;2;61;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30001;30000;63010;5410;1;1;331101;0;61;61;61;8801;-1;-1;-1;61;20039;
2;Duelist;16;60;4700;-1;-1;-1;-1;-1;-1;-1;-1;-1;30011;30010;63010;5420;0;2;331103;2;60;60;60;-1;-1;-1;-1;60;0;
3;;5;900;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;1;0;0;900;900;900;-1;-1;-1;-1;900;0;
4;;5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;
5;;6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;
6;;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;
7;;7;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;2;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;
8;Host of Fingers;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;-1;1;1;331100;0;-1;-1;-1;-1;-1;-1;-1;-1;0;
9;;26;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;
10;;0;902;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;1;0;0;902;902;902;-1;-1;-1;-1;902;0;
11;;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;0;63010;-1;0;1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;
